timestep,alt_100km,alt_110km,alt_120km,alt_130km,alt_140km,alt_150km,alt_160km,alt_170km,alt_180km,alt_190km,alt_200km,alt_210km,alt_220km,alt_230km,alt_240km,alt_250km,alt_260km,alt_270km,alt_280km,alt_290km,alt_300km
1900,0.00071755,0.000104029,2.1311e-05,7.35837e-06,3.52436e-06,2.00498e-06,1.26517e-06,8.56434e-07,6.0893e-07,4.49142e-07,3.4081e-07,2.64158e-07,2.08519e-07,1.66972e-07,1.35245e-07,1.10756e-07,9.15919e-08,7.62021e-08,6.3826e-08,5.3811e-08,4.55797e-08
2000,0.000717746,0.000104029,2.1313e-05,7.35829e-06,3.52423e-06,2.00501e-06,1.26519e-06,8.56465e-07,6.08994e-07,4.49186e-07,3.40831e-07,2.64177e-07,2.08525e-07,1.6701e-07,1.35262e-07,1.10771e-07,9.15899e-08,7.62073e-08,6.38271e-08,5.38126e-08,4.55814e-08
2100,0.000717932,0.000104041,2.13152e-05,7.35778e-06,3.52427e-06,2.00509e-06,1.26526e-06,8.56552e-07,6.09029e-07,4.49179e-07,3.40819e-07,2.64221e-07,2.08528e-07,1.67019e-07,1.35271e-07,1.10787e-07,9.15891e-08,7.62187e-08,6.38355e-08,5.38184e-08,4.55842e-08
2200,0.000718059,0.000104055,2.13145e-05,7.35794e-06,3.52443e-06,2.00502e-06,1.26527e-06,8.56571e-07,6.09027e-07,4.49187e-07,3.40837e-07,2.64217e-07,2.08517e-07,1.67024e-07,1.35266e-07,1.10795e-07,9.15884e-08,7.6225e-08,6.38349e-08,5.38195e-08,4.5584e-08
2300,0.00071823,0.00010407,2.13145e-05,7.35801e-06,3.5248e-06,2.00515e-06,1.26521e-06,8.56565e-07,6.09017e-07,4.49152e-07,3.40902e-07,2.64224e-07,2.08512e-07,1.67034e-07,1.35266e-07,1.10792e-07,9.15896e-08,7.62371e-08,6.38386e-08,5.38268e-08,4.55879e-08
2400,0.000718473,0.000104071,2.13158e-05,7.35943e-06,3.52462e-06,2.00528e-06,1.26512e-06,8.56542e-07,6.09058e-07,4.49165e-07,3.40886e-07,2.64244e-07,2.08516e-07,1.67036e-07,1.35271e-07,1.108e-07,9.15985e-08,7.62304e-08,6.38367e-08,5.38269e-08,4.55878e-08
2500,0.00071857,0.00010408,2.13158e-05,7.35896e-06,3.52466e-06,2.00535e-06,1.26513e-06,8.56531e-07,6.09067e-07,4.49164e-07,3.40898e-07,2.64259e-07,2.08515e-07,1.67036e-07,1.35265e-07,1.10813e-07,9.16075e-08,7.62342e-08,6.38386e-08,5.38252e-08,4.5593e-08
2600,0.000718681,0.000104081,2.13163e-05,7.35926e-06,3.52499e-06,2.00532e-06,1.26511e-06,8.56504e-07,6.09081e-07,4.49184e-07,3.40916e-07,2.64277e-07,2.08514e-07,1.67032e-07,1.35265e-07,1.10812e-07,9.16146e-08,7.62302e-08,6.38368e-08,5.38255e-08,4.5594e-08
2700,0.000718773,0.000104083,2.13179e-05,7.35968e-06,3.52477e-06,2.00514e-06,1.26517e-06,8.56543e-07,6.09086e-07,4.49214e-07,3.40891e-07,2.64278e-07,2.08523e-07,1.67032e-07,1.3527e-07,1.10811e-07,9.16155e-08,7.6228e-08,6.38335e-08,5.38243e-08,4.55908e-08
2800,0.000718845,0.00010409,2.1319e-05,7.36035e-06,3.52463e-06,2.00523e-06,1.26519e-06,8.56468e-07,6.09054e-07,4.49212e-07,3.40879e-07,2.64271e-07,2.08537e-07,1.67029e-07,1.35275e-07,1.10815e-07,9.16162e-08,7.62278e-08,6.38339e-08,5.3828e-08,4.55939e-08
2900,0.000718937,0.00010409,2.13197e-05,7.36073e-06,3.5246e-06,2.00548e-06,1.26511e-06,8.56515e-07,6.09038e-07,4.49243e-07,3.40872e-07,2.6426e-07,2.08537e-07,1.67026e-07,1.35269e-07,1.10818e-07,9.16147e-08,7.62261e-08,6.38357e-08,5.38309e-08,4.55966e-08
3000,0.000719038,0.000104099,2.13218e-05,7.36113e-06,3.52447e-06,2.00542e-06,1.26515e-06,8.56496e-07,6.09093e-07,4.49257e-07,3.40865e-07,2.64269e-07,2.08531e-07,1.6703e-07,1.35272e-07,1.10825e-07,9.16154e-08,7.62318e-08,6.3832e-08,5.38331e-08,4.5597e-08
3100,0.000719138,0.000104103,2.13227e-05,7.36142e-06,3.52466e-06,2.00536e-06,1.26516e-06,8.56434e-07,6.09095e-07,4.49231e-07,3.40864e-07,2.64266e-07,2.08537e-07,1.6703e-07,1.35266e-07,1.10826e-07,9.16121e-08,7.62378e-08,6.38322e-08,5.38327e-08,4.55972e-08
3200,0.000719186,0.000104114,2.13229e-05,7.3621e-06,3.52464e-06,2.00549e-06,1.26508e-06,8.56433e-07,6.09105e-07,4.49259e-07,3.40864e-07,2.64277e-07,2.08536e-07,1.67021e-07,1.35266e-07,1.10845e-07,9.16181e-08,7.62372e-08,6.38343e-08,5.38329e-08,4.55998e-08
3300,0.000719274,0.000104114,2.13234e-05,7.36272e-06,3.52473e-06,2.00542e-06,1.26511e-06,8.56451e-07,6.09151e-07,4.4926e-07,3.40863e-07,2.64263e-07,2.08556e-07,1.67004e-07,1.35271e-07,1.1085e-07,9.16177e-08,7.62287e-08,6.38357e-08,5.38321e-08,4.56013e-08
3400,0.000719344,0.000104124,2.13238e-05,7.36309e-06,3.52479e-06,2.00529e-06,1.26524e-06,8.56442e-07,6.0915e-07,4.49284e-07,3.40875e-07,2.64277e-07,2.08556e-07,1.67015e-07,1.35274e-07,1.10859e-07,9.16237e-08,7.62305e-08,6.38399e-08,5.38304e-08,4.56027e-08
3500,0.000719415,0.00010413,2.13227e-05,7.36315e-06,3.52475e-06,2.00519e-06,1.26523e-06,8.56465e-07,6.09144e-07,4.49283e-07,3.40873e-07,2.64303e-07,2.08561e-07,1.67013e-07,1.35276e-07,1.10856e-07,9.16187e-08,7.62284e-08,6.38476e-08,5.38343e-08,4.56046e-08
3600,0.000719471,0.000104128,2.13245e-05,7.36351e-06,3.52462e-06,2.00517e-06,1.2652e-06,8.56564e-07,6.09155e-07,4.49306e-07,3.4089e-07,2.64306e-07,2.08568e-07,1.67013e-07,1.35277e-07,1.10856e-07,9.16176e-08,7.6227e-08,6.3851e-08,5.38365e-08,4.56052e-08
3700,0.000719539,0.000104136,2.13249e-05,7.36361e-06,3.52475e-06,2.00507e-06,1.26519e-06,8.56561e-07,6.09162e-07,4.49298e-07,3.40888e-07,2.64325e-07,2.08562e-07,1.67018e-07,1.35285e-07,1.10855e-07,9.16162e-08,7.6223e-08,6.3847e-08,5.38314e-08,4.56046e-08
3800,0.000719597,0.000104139,2.13261e-05,7.36416e-06,3.52465e-06,2.0051e-06,1.26519e-06,8.5655e-07,6.09161e-07,4.49307e-07,3.40899e-07,2.64358e-07,2.0858e-07,1.67022e-07,1.35287e-07,1.10849e-07,9.16195e-08,7.62225e-08,6.38461e-08,5.38318e-08,4.56057e-08
3900,0.00071967,0.000104145,2.13271e-05,7.36422e-06,3.52466e-06,2.00511e-06,1.26515e-06,8.56508e-07,6.09172e-07,4.49291e-07,3.40874e-07,2.64364e-07,2.08585e-07,1.67026e-07,1.35285e-07,1.10857e-07,9.16227e-08,7.6227e-08,6.38455e-08,5.38312e-08,4.56057e-08
4000,0.000719762,0.000104152,2.13266e-05,7.36431e-06,3.5246e-06,2.00518e-06,1.26521e-06,8.56523e-07,6.09153e-07,4.49331e-07,3.40862e-07,2.64374e-07,2.08585e-07,1.67019e-07,1.35287e-07,1.10857e-07,9.16234e-08,7.62278e-08,6.38469e-08,5.38291e-08,4.56034e-08
4100,0.000719835,0.000104153,2.13268e-05,7.36449e-06,3.5248e-06,2.00524e-06,1.26522e-06,8.5648e-07,6.09188e-07,4.49314e-07,3.40883e-07,2.64368e-07,2.08585e-07,1.67021e-07,1.3528e-07,1.10843e-07,9.16229e-08,7.62264e-08,6.38496e-08,5.38293e-08,4.56005e-08
4200,0.000719868,0.000104152,2.13275e-05,7.36433e-06,3.52489e-06,2.00511e-06,1.26526e-06,8.56478e-07,6.09161e-07,4.49331e-07,3.40872e-07,2.64376e-07,2.08581e-07,1.67027e-07,1.35292e-07,1.10851e-07,9.16238e-08,7.62256e-08,6.38479e-08,5.3831e-08,4.56048e-08
4300,0.000719929,0.000104161,2.13284e-05,7.36454e-06,3.52487e-06,2.00515e-06,1.26524e-06,8.56475e-07,6.09169e-07,4.4931e-07,3.40876e-07,2.64359e-07,2.08572e-07,1.67027e-07,1.35299e-07,1.10855e-07,9.16252e-08,7.62314e-08,6.3846e-08,5.38323e-08,4.5605e-08
4400,0.000719955,0.000104162,2.13292e-05,7.36442e-06,3.5248e-06,2.00497e-06,1.26524e-06,8.56506e-07,6.09173e-07,4.49319e-07,3.40889e-07,2.6436e-07,2.08573e-07,1.67026e-07,1.35305e-07,1.10859e-07,9.16243e-08,7.62305e-08,6.38491e-08,5.38327e-08,4.56085e-08
4500,0.000720007,0.000104163,2.13298e-05,7.36447e-06,3.52478e-06,2.00501e-06,1.26522e-06,8.565e-07,6.09163e-07,4.49304e-07,3.40899e-07,2.64354e-07,2.08585e-07,1.67021e-07,1.35308e-07,1.10859e-07,9.16248e-08,7.62254e-08,6.38528e-08,5.38305e-08,4.56091e-08
4600,0.000720054,0.000104171,2.13306e-05,7.36487e-06,3.52489e-06,2.005e-06,1.26523e-06,8.56471e-07,6.09147e-07,4.49281e-07,3.40908e-07,2.64355e-07,2.08584e-07,1.67026e-07,1.35309e-07,1.10862e-07,9.16244e-08,7.62268e-08,6.38522e-08,5.38313e-08,4.56097e-08
4700,0.00072007,0.000104175,2.13309e-05,7.36497e-06,3.52479e-06,2.00501e-06,1.2653e-06,8.56505e-07,6.09144e-07,4.49286e-07,3.40906e-07,2.64339e-07,2.08587e-07,1.67029e-07,1.35306e-07,1.10861e-07,9.16283e-08,7.62311e-08,6.38535e-08,5.38342e-08,4.56086e-08
4800,0.000720084,0.000104177,2.13315e-05,7.36508e-06,3.52476e-06,2.00502e-06,1.26531e-06,8.56511e-07,6.09134e-07,4.49263e-07,3.40908e-07,2.6435e-07,2.08587e-07,1.67025e-07,1.35311e-07,1.10862e-07,9.16262e-08,7.6233e-08,6.38523e-08,5.38345e-08,4.56066e-08
4900,0.000720119,0.000104182,2.13308e-05,7.36518e-06,3.52469e-06,2.00501e-06,1.26535e-06,8.5651e-07,6.09122e-07,4.49289e-07,3.40924e-07,2.64351e-07,2.08591e-07,1.67027e-07,1.35305e-07,1.10857e-07,9.16253e-08,7.62369e-08,6.38557e-08,5.3835e-08,4.56066e-08
5000,0.000720147,0.000104188,2.1331e-05,7.36553e-06,3.52487e-06,2.00497e-06,1.26532e-06,8.5649e-07,6.09153e-07,4.49283e-07,3.40913e-07,2.64347e-07,2.08579e-07,1.6702e-07,1.3531e-07,1.10863e-07,9.16232e-08,7.62344e-08,6.38572e-08,5.38341e-08,4.56082e-08
