timestep,alt_70km,alt_80km,alt_90km,alt_100km,alt_120km,alt_140km,alt_160km,alt_180km,alt_200km,alt_220km,alt_250km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0
100,157.754,31.0937,5.68112,0.96586,0.0528914,0.0130453,0.00563012,0.00307369,0.00196163,0.00108812,0.000594416,0.000264037
200,160.291,42.483,7.19121,1.08633,0.0660204,0.0162858,0.00800308,0.0040843,0.00241003,0.0013855,0.000750351,0.00032519
300,203.43,49.8787,7.79082,1.16239,0.0768653,0.0195786,0.00768651,0.00387017,0.00241507,0.00147412,0.000805917,0.000335812
400,252.691,60.2847,9.34965,1.37015,0.0761327,0.0198186,0.00789781,0.00403827,0.00246186,0.00152592,0.000842977,0.000344594
500,284.135,63.087,10.0041,1.44271,0.0790459,0.0192828,0.0081784,0.00414234,0.00252131,0.0015469,0.000848297,0.000345564
600,310.924,66.718,10.5386,1.47291,0.0775982,0.0195741,0.0082166,0.00438351,0.00256751,0.00154559,0.000809638,0.000337244
700,332.157,72.4719,11.4161,1.49671,0.0800595,0.0201601,0.00822419,0.00425109,0.00250973,0.00151362,0.000806393,0.000338662
800,343.655,78.2146,11.7364,1.49841,0.0823723,0.0202649,0.00812237,0.00424144,0.00249325,0.00150583,0.000809671,0.000337948
900,353.155,80.7483,11.859,1.45529,0.0830378,0.0196431,0.0079665,0.00418711,0.00247129,0.00149846,0.00081116,0.000339585
1000,363.315,84.2574,12.6394,1.52825,0.0849354,0.0195562,0.00798571,0.00413346,0.00245492,0.00150578,0.000806053,0.000336913
1100,379.336,87.1986,13.0235,1.59354,0.0840741,0.0192871,0.0078605,0.00414537,0.00244418,0.00151082,0.000814792,0.000341147
1200,378.646,89.128,13.3935,1.5932,0.0839843,0.0190343,0.00789282,0.0041375,0.00245846,0.00152366,0.000813475,0.000342857
1300,380.578,91.4655,13.849,1.6081,0.0832321,0.0193501,0.00792402,0.00418362,0.00246317,0.00151743,0.000813799,0.000338459
1400,380.278,93.0466,14.2128,1.59586,0.0826604,0.0197858,0.00797744,0.00413403,0.00240948,0.00150008,0.000815594,0.000340375
1500,386.802,92.6232,14.4702,1.62465,0.0833373,0.0198489,0.00797005,0.00410481,0.00243156,0.00151321,0.000807545,0.000334917
1600,393.573,93.7064,14.785,1.59694,0.0824405,0.0200371,0.00788929,0.00413766,0.00241198,0.00150111,0.000800776,0.000332439
1700,398.936,94.9164,14.8274,1.56259,0.0830145,0.0197666,0.00793439,0.00411464,0.00242565,0.00149644,0.000793565,0.000331755
1800,395.805,94.5346,14.9872,1.54988,0.0835818,0.0193805,0.00792326,0.00413673,0.00239361,0.00150364,0.000795871,0.000329574
1900,398.667,94.49,15.0588,1.5571,0.0842187,0.0193698,0.00793448,0.00411658,0.00238609,0.00148933,0.000797201,0.000328691
2000,393.801,92.9747,15.0856,1.54556,0.0849929,0.0195421,0.0079056,0.00409568,0.00239521,0.00148862,0.000796701,0.00032825
