timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
3000,82.8822,31.5141,11.5612,4.1323,1.61187,0.649683,0.254971,0.0879396,0.0335313,0.0169306,0.00854837,0.0046947,0.00327133,0.00174235,0.0014072,0.000953603,0.000718741,0.000606877,0.000481722,0.00039603,0.000309504,0.000263782,0.000227189,0.000209454,0.000169623,0.000155802,0.000124688,0.000113464,0.000101045,8.42179e-05,7.65886e-05,6.46138e-05,5.8776e-05,5.24555e-05,4.58215e-05,4.20396e-05,4.07455e-05,3.4657e-05,2.90673e-05,2.7304e-05,2.63147e-05,2.3573e-05,2.06941e-05,2.21855e-05,1.75839e-05,1.66837e-05,1.46059e-05
3100,84.6054,31.524,11.5809,4.15883,1.61132,0.648671,0.252644,0.0872443,0.0337853,0.0167735,0.00861823,0.00468649,0.00329185,0.00173482,0.00140416,0.000957772,0.000727807,0.000602912,0.000479708,0.000394186,0.000312525,0.000260414,0.000226556,0.000206683,0.000169891,0.000156549,0.000124158,0.000114132,0.000100489,8.48577e-05,7.64392e-05,6.48275e-05,5.81125e-05,5.20308e-05,4.57373e-05,4.176e-05,4.07819e-05,3.50764e-05,2.94015e-05,2.75398e-05,2.65985e-05,2.38214e-05,2.09567e-05,2.18234e-05,1.74471e-05,1.70078e-05,1.44359e-05
3200,86.0102,31.5693,11.3925,4.16124,1.60912,0.63899,0.251625,0.0874152,0.0336833,0.0163543,0.0086537,0.0047057,0.00329346,0.00173105,0.0013833,0.000953659,0.000735058,0.000604992,0.000478578,0.000394813,0.000315137,0.000261336,0.000231378,0.000207425,0.000167993,0.000157965,0.000125147,0.000113466,9.92462e-05,8.54117e-05,7.62296e-05,6.45297e-05,5.86816e-05,5.17784e-05,4.53319e-05,4.25141e-05,4.07023e-05,3.52505e-05,2.95394e-05,2.76153e-05,2.66684e-05,2.39814e-05,2.07285e-05,2.16133e-05,1.73398e-05,1.71915e-05,1.44473e-05
3300,85.8499,31.6386,11.3334,4.19454,1.6017,0.634488,0.251364,0.0872671,0.03398,0.0162044,0.00861802,0.00465451,0.00330018,0.00173361,0.00138516,0.000963096,0.000726172,0.000600824,0.000482636,0.000395303,0.000313305,0.000263414,0.000231188,0.000209263,0.000166051,0.000158963,0.000125692,0.000113186,9.84908e-05,8.56926e-05,7.64254e-05,6.43009e-05,5.88615e-05,5.12888e-05,4.54813e-05,4.2629e-05,4.04907e-05,3.50571e-05,2.93758e-05,2.77768e-05,2.63623e-05,2.39806e-05,2.09535e-05,2.12928e-05,1.72365e-05,1.71999e-05,1.43362e-05
3400,86.5325,31.4238,11.353,4.2128,1.58537,0.646557,0.250237,0.0873769,0.0345774,0.016034,0.00857593,0.00469942,0.00327445,0.00174041,0.00138184,0.000952097,0.000732874,0.000605389,0.000488174,0.00039858,0.000312457,0.000267277,0.000230301,0.000208912,0.000166196,0.000160565,0.000125782,0.000113606,9.92535e-05,8.46321e-05,7.66382e-05,6.36003e-05,5.96969e-05,5.05499e-05,4.57362e-05,4.23271e-05,4.08455e-05,3.46431e-05,2.93329e-05,2.81999e-05,2.67455e-05,2.41517e-05,2.1066e-05,2.13521e-05,1.71334e-05,1.74384e-05,1.44901e-05
3500,86.5371,31.2831,11.2739,4.23773,1.60085,0.63933,0.249513,0.0867554,0.034295,0.0159954,0.00864577,0.00476645,0.00326302,0.00174937,0.00138234,0.000953196,0.000737831,0.000604341,0.000491329,0.000399009,0.000313007,0.000271071,0.00023075,0.000208226,0.000168921,0.000161279,0.000125225,0.000113462,9.96029e-05,8.44565e-05,7.75306e-05,6.32199e-05,5.95062e-05,5.0078e-05,4.55777e-05,4.21191e-05,4.07839e-05,3.49233e-05,2.93887e-05,2.85334e-05,2.74003e-05,2.40467e-05,2.11258e-05,2.11021e-05,1.71554e-05,1.75335e-05,1.44778e-05
3600,85.721,31.6726,11.1179,4.23668,1.60266,0.646757,0.250006,0.0883208,0.0344145,0.0159263,0.00870631,0.00481368,0.00330138,0.00177088,0.00138798,0.000967194,0.000738495,0.00060189,0.000492135,0.000401739,0.000309765,0.000269799,0.000230231,0.000207023,0.000167808,0.000161706,0.000124219,0.000112267,0.000100189,8.4324e-05,7.62017e-05,6.24557e-05,5.99003e-05,4.97655e-05,4.55144e-05,4.20728e-05,4.09169e-05,3.56148e-05,2.97341e-05,2.8997e-05,2.72911e-05,2.40217e-05,2.08833e-05,2.10388e-05,1.69959e-05,1.74937e-05,1.43794e-05
3700,85.3876,31.4744,11.0712,4.20055,1.61212,0.652702,0.249511,0.0878189,0.0344223,0.0159149,0.00870128,0.00482376,0.00328138,0.00178791,0.00137885,0.000976092,0.0007324,0.000600958,0.000489657,0.000398413,0.000308862,0.000268655,0.000229182,0.000206761,0.00017103,0.000162018,0.00012646,0.000113178,9.95695e-05,8.46886e-05,7.57769e-05,6.20363e-05,5.97915e-05,4.93257e-05,4.53179e-05,4.20831e-05,4.01506e-05,3.5747e-05,2.95811e-05,2.8928e-05,2.72471e-05,2.40198e-05,2.08329e-05,2.09292e-05,1.69572e-05,1.7299e-05,1.43627e-05
3800,85.0164,31.5752,11.1175,4.1681,1.60533,0.657174,0.251841,0.0879316,0.0345769,0.0159751,0.0087032,0.00479589,0.00327113,0.00179415,0.00137523,0.00097663,0.000735257,0.000604655,0.00048661,0.000397701,0.000310075,0.000268499,0.000228302,0.00020766,0.000169205,0.000159615,0.00012665,0.000113217,9.94754e-05,8.46479e-05,7.46349e-05,6.23647e-05,5.93703e-05,4.93885e-05,4.49764e-05,4.17462e-05,4.01891e-05,3.59248e-05,2.9762e-05,2.92575e-05,2.72874e-05,2.41063e-05,2.0826e-05,2.09173e-05,1.69398e-05,1.73313e-05,1.42551e-05
3900,85.7074,31.5812,11.0933,4.18538,1.60712,0.654388,0.252327,0.0874862,0.0349768,0.0159926,0.00869979,0.00477869,0.00326076,0.00180885,0.00138706,0.000969983,0.000744386,0.000605105,0.000488127,0.000392762,0.000313866,0.000272411,0.000228063,0.000205349,0.000168909,0.000160083,0.000127703,0.000113517,9.9071e-05,8.42908e-05,7.39963e-05,6.22435e-05,5.87185e-05,4.99634e-05,4.52354e-05,4.16824e-05,4.04946e-05,3.59786e-05,2.97981e-05,2.93892e-05,2.7016e-05,2.41069e-05,2.07888e-05,2.06878e-05,1.68231e-05,1.73464e-05,1.43067e-05
4000,86.0606,31.7442,11.1339,4.16165,1.60687,0.649676,0.251356,0.0881258,0.0349597,0.0160056,0.00876577,0.00479729,0.00322628,0.0018097,0.00138759,0.000978222,0.000740349,0.000603654,0.000490348,0.000396365,0.000316201,0.00027276,0.000226926,0.000205134,0.000167836,0.000159792,0.000127101,0.000114068,9.91689e-05,8.47074e-05,7.42025e-05,6.16891e-05,5.9028e-05,5.03926e-05,4.56297e-05,4.13124e-05,4.03694e-05,3.59476e-05,2.97756e-05,2.92648e-05,2.70673e-05,2.39966e-05,2.11481e-05,2.08848e-05,1.69043e-05,1.72651e-05,1.45795e-05
4100,85.6545,31.6453,11.2131,4.19057,1.60103,0.657032,0.250638,0.0881847,0.0347416,0.0161415,0.00873553,0.00482699,0.00320414,0.00180473,0.00139246,0.000994744,0.000738968,0.000603953,0.000487641,0.000398483,0.000317073,0.000270847,0.000226067,0.000205072,0.000167082,0.000160459,0.000126156,0.000113807,9.84505e-05,8.53531e-05,7.35346e-05,6.20501e-05,5.95544e-05,5.04518e-05,4.5374e-05,4.16476e-05,4.03329e-05,3.65894e-05,2.97427e-05,2.96144e-05,2.68281e-05,2.41118e-05,2.12341e-05,2.08443e-05,1.69171e-05,1.71521e-05,1.45616e-05
4200,86.7114,31.3846,11.1771,4.23297,1.61667,0.655742,0.25011,0.0873709,0.0345717,0.0160746,0.00880209,0.00480723,0.00320625,0.00180845,0.00139745,0.000983055,0.000734173,0.000613934,0.000487666,0.000395442,0.00031675,0.000270612,0.00022701,0.000203847,0.000168396,0.000161154,0.000124998,0.000114591,9.86401e-05,8.53476e-05,7.36096e-05,6.23755e-05,5.96127e-05,5.07118e-05,4.53162e-05,4.14681e-05,4.04065e-05,3.64455e-05,2.98156e-05,2.94234e-05,2.70407e-05,2.3936e-05,2.12441e-05,2.07683e-05,1.73214e-05,1.71114e-05,1.45157e-05
4300,86.844,31.3233,11.2151,4.20011,1.61249,0.66291,0.247736,0.0875411,0.03432,0.015901,0.00874111,0.00482466,0.00319393,0.0018407,0.0013898,0.000987131,0.000733758,0.000618701,0.000487735,0.000394005,0.000316716,0.000271314,0.000227655,0.000202564,0.000170557,0.000162093,0.000126276,0.000114696,9.89842e-05,8.53626e-05,7.35102e-05,6.18642e-05,5.99218e-05,5.04698e-05,4.54984e-05,4.14405e-05,4.03295e-05,3.61145e-05,2.96738e-05,2.94044e-05,2.70394e-05,2.39026e-05,2.1024e-05,2.07756e-05,1.7246e-05,1.73376e-05,1.45273e-05
4400,87.9234,31.4403,11.1704,4.23115,1.62104,0.66098,0.247568,0.0875549,0.0341036,0.0159195,0.00871683,0.00477091,0.00319748,0.00183471,0.00138358,0.000992831,0.000732457,0.000620806,0.000495383,0.000392737,0.000319812,0.0002709,0.000228714,0.000201277,0.000172444,0.000162319,0.000125454,0.000114987,9.79562e-05,8.54159e-05,7.3599e-05,6.23589e-05,5.97623e-05,5.0608e-05,4.53298e-05,4.10607e-05,4.03664e-05,3.60669e-05,2.95611e-05,2.91811e-05,2.69894e-05,2.41667e-05,2.11301e-05,2.07603e-05,1.72531e-05,1.71935e-05,1.44341e-05
4500,88.3689,31.4762,11.1511,4.25862,1.60463,0.66232,0.247052,0.0870349,0.0340487,0.0158628,0.00867817,0.00481669,0.00318086,0.00183224,0.00138968,0.000998255,0.000736421,0.0006227,0.00049239,0.000391099,0.000319181,0.00026915,0.000231354,0.000201315,0.00017132,0.000161291,0.000125788,0.000114086,9.74996e-05,8.53218e-05,7.34019e-05,6.25178e-05,5.94239e-05,5.05677e-05,4.52922e-05,4.10176e-05,4.07885e-05,3.59146e-05,2.96307e-05,2.90923e-05,2.68539e-05,2.40694e-05,2.10657e-05,2.07169e-05,1.73909e-05,1.73378e-05,1.43979e-05
4600,88.7667,31.5552,11.1507,4.25429,1.6288,0.672268,0.250038,0.0879693,0.0338385,0.0159351,0.00870104,0.00488206,0.00320194,0.00184608,0.00138185,0.000993129,0.00073096,0.000626985,0.000494089,0.000391737,0.000319426,0.000270411,0.000232382,0.000201246,0.000171465,0.000161028,0.000126494,0.000113632,9.73137e-05,8.58886e-05,7.30648e-05,6.23772e-05,5.93864e-05,5.0863e-05,4.51417e-05,4.0877e-05,4.04783e-05,3.55504e-05,2.96303e-05,2.93539e-05,2.69999e-05,2.42094e-05,2.09495e-05,2.09043e-05,1.73977e-05,1.73691e-05,1.42937e-05
4700,88.7253,31.4748,11.1595,4.26691,1.63115,0.675808,0.249452,0.0870365,0.0338955,0.0158125,0.00872848,0.00484922,0.00319123,0.0018529,0.00137675,0.000983809,0.000731397,0.000629639,0.00049454,0.000391025,0.000320327,0.00027181,0.000231997,0.000202184,0.000171459,0.000161346,0.000126958,0.000112692,9.74613e-05,8.48097e-05,7.32032e-05,6.24319e-05,5.97427e-05,5.11473e-05,4.47699e-05,4.08761e-05,4.02484e-05,3.5347e-05,2.95101e-05,2.94134e-05,2.74497e-05,2.40381e-05,2.11282e-05,2.06876e-05,1.73877e-05,1.75073e-05,1.44172e-05
4800,88.3074,31.6261,11.1305,4.30494,1.62733,0.677794,0.251172,0.0873414,0.0341907,0.0156566,0.00873482,0.00491419,0.00316817,0.00183884,0.00135904,0.00099207,0.000730861,0.000629243,0.000494739,0.000393618,0.000322258,0.000270439,0.000230998,0.000204064,0.000171524,0.000159833,0.000126615,0.000112484,9.66188e-05,8.53309e-05,7.39611e-05,6.29677e-05,5.98112e-05,5.10791e-05,4.53066e-05,4.07409e-05,4.06748e-05,3.54549e-05,2.96373e-05,2.9312e-05,2.73608e-05,2.39285e-05,2.11846e-05,2.05935e-05,1.7384e-05,1.74233e-05,1.42796e-05
4900,89.0359,31.5841,11.0586,4.33666,1.62237,0.679341,0.250975,0.087017,0.0341456,0.0156514,0.00879495,0.00488694,0.00316259,0.00183508,0.00135346,0.000986962,0.000732014,0.000625359,0.000498211,0.000397155,0.000322908,0.000272248,0.000231026,0.000201567,0.000171816,0.000161141,0.000126391,0.000111991,9.65641e-05,8.51628e-05,7.36303e-05,6.32863e-05,5.96814e-05,5.09157e-05,4.57428e-05,4.09687e-05,4.05345e-05,3.53815e-05,2.99818e-05,2.92229e-05,2.73251e-05,2.37568e-05,2.12621e-05,2.05873e-05,1.74337e-05,1.74067e-05,1.44202e-05
5000,89.0845,31.4907,11.0687,4.33428,1.61298,0.677089,0.250729,0.0868985,0.0337793,0.0155954,0.00878917,0.00487669,0.00318424,0.00183716,0.00135433,0.00098594,0.000732805,0.000630005,0.000495189,0.000396199,0.000323764,0.00027369,0.000232351,0.000203123,0.000172124,0.000161017,0.000125631,0.000111758,9.58594e-05,8.46388e-05,7.32045e-05,6.39727e-05,5.95901e-05,5.11086e-05,4.56444e-05,4.11354e-05,4.0387e-05,3.50266e-05,3.02408e-05,2.91855e-05,2.71436e-05,2.37117e-05,2.11361e-05,2.0436e-05,1.75783e-05,1.71902e-05,1.46012e-05
