timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
2200,307.003,144.569,63.793,27.2258,11.3252,4.48363,1.73669,0.638272,0.25414,0.118703,0.0649172,0.0370641,0.0235841,0.0160359,0.0117581,0.00875541,0.00653816,0.00524918,0.004234,0.00339211,0.00284635,0.00237427,0.00201097,0.00173344,0.00149606,0.00134897,0.00117124,0.000992955,0.000874983,0.000781247,0.000685666,0.000609355,0.000544735,0.000512276,0.000439398,0.000401631,0.000367747,0.000325358,0.000297354,0.000261591,0.000239016,0.000216785,0.000204679,0.000181831,0.000170488,0.000155492,0.000147773
2300,307.653,144.845,63.9875,27.1437,11.3695,4.49307,1.74177,0.637968,0.255466,0.118966,0.0649072,0.0372461,0.0238072,0.0160312,0.0118257,0.00874064,0.0065458,0.00526208,0.00426596,0.0034164,0.00285477,0.0023956,0.00200773,0.00174369,0.00149773,0.00134865,0.00117356,0.000996728,0.000877174,0.000778847,0.000688835,0.000612518,0.000545417,0.000510356,0.000438902,0.000401498,0.000366521,0.000325972,0.000296709,0.000261772,0.000239037,0.000217536,0.000204457,0.000181898,0.000169812,0.000155378,0.000147304
2400,310.547,144.832,64.0594,27.2613,11.4169,4.4788,1.75025,0.637222,0.256029,0.118703,0.0648376,0.0374161,0.0238863,0.0159893,0.0118227,0.00878409,0.00655649,0.00529571,0.00427684,0.00342162,0.00285,0.0024057,0.00200326,0.00174172,0.0014893,0.00135179,0.0011672,0.00100109,0.000880197,0.000779376,0.000688188,0.000615417,0.000545379,0.000509354,0.000441468,0.000400083,0.000368098,0.000325461,0.000296009,0.000261614,0.000239839,0.000216256,0.000204486,0.000181938,0.000170338,0.000155625,0.00014624
2500,311.714,145.356,64.0637,27.499,11.4459,4.48935,1.74779,0.637236,0.25495,0.118733,0.0646287,0.0372853,0.023895,0.01611,0.0118004,0.00881355,0.00653341,0.00527683,0.00430483,0.00342332,0.00283194,0.00241298,0.00201157,0.00176064,0.00149351,0.00135358,0.00115968,0.000999957,0.000881773,0.00077786,0.000688521,0.000612076,0.000547308,0.000510795,0.000442243,0.000399609,0.000366482,0.000324208,0.0002947,0.000263008,0.000239381,0.000217592,0.000204263,0.000181701,0.000170021,0.000156433,0.000146316
2600,312.325,145.381,64.3338,27.7069,11.4584,4.49408,1.74875,0.640039,0.255849,0.118962,0.064941,0.0374635,0.0238784,0.0161272,0.0116933,0.00881597,0.006534,0.00529208,0.00427946,0.00343771,0.00282956,0.00241003,0.00200646,0.00175927,0.00149199,0.00135004,0.00115265,0.0009944,0.000882617,0.000776732,0.000693079,0.000614685,0.000548091,0.000508638,0.000439736,0.000399671,0.000365227,0.000324305,0.000294176,0.000261684,0.000239707,0.000218758,0.000203521,0.000181498,0.000169493,0.000156469,0.000146356
2700,313.762,145.262,64.7041,27.786,11.5177,4.50718,1.75355,0.642453,0.255475,0.118788,0.0650999,0.0374681,0.0240513,0.0161463,0.011652,0.00878471,0.00657957,0.00529554,0.00428173,0.00343463,0.0028326,0.00241421,0.00200213,0.00175647,0.0014964,0.00135017,0.00115553,0.0009887,0.000876005,0.000775739,0.000692258,0.000614475,0.00054413,0.000507959,0.000439737,0.000397638,0.000366547,0.000325278,0.000293709,0.000261894,0.000239648,0.00021881,0.000201944,0.000181162,0.000169907,0.000155863,0.000145991
2800,312.993,145.16,64.7835,27.8475,11.5257,4.51447,1.75013,0.640907,0.254758,0.118774,0.0647704,0.0375206,0.0239912,0.016085,0.0116136,0.00882838,0.00658927,0.00528326,0.00427839,0.00344096,0.0028516,0.00241437,0.00201035,0.00175577,0.00149416,0.00134712,0.00115218,0.000996024,0.000878914,0.000774398,0.000692296,0.000616646,0.000540608,0.000508907,0.000438801,0.000398013,0.00036652,0.000324719,0.000293223,0.000261511,0.000240372,0.000218164,0.000201194,0.0001816,0.000170339,0.000154923,0.000145533
2900,312.262,145.559,64.9525,27.9359,11.5311,4.52628,1.7472,0.641841,0.254067,0.118754,0.0648579,0.0374345,0.0239607,0.0160684,0.0116204,0.00886103,0.00659669,0.0052688,0.0042709,0.00343204,0.00284831,0.00240821,0.0020179,0.00175295,0.00148497,0.00134857,0.00115005,0.000997359,0.000882021,0.000774961,0.000688981,0.000615158,0.000539373,0.000508464,0.000438547,0.000397397,0.000368107,0.000324684,0.000293101,0.000262067,0.000239868,0.000217669,0.00020088,0.000182221,0.000169797,0.000155743,0.000145219
3000,313.041,146.05,65.0383,28.0445,11.5488,4.52074,1.75037,0.638338,0.254393,0.118717,0.0650862,0.0374393,0.0240758,0.0160458,0.0115587,0.0088722,0.00658785,0.00525465,0.00426261,0.00341388,0.00283191,0.002421,0.00201524,0.00175725,0.00148696,0.001351,0.0011516,0.000993363,0.000881774,0.000776628,0.000690084,0.000616736,0.000539601,0.000506718,0.000436296,0.000396571,0.000367151,0.000324567,0.000292434,0.000261231,0.000239317,0.00021713,0.000200389,0.000181964,0.000169091,0.000155667,0.000145181
3100,314.812,146.242,65.4001,28.044,11.5614,4.54255,1.74841,0.637875,0.254002,0.118752,0.0651152,0.0374356,0.0240414,0.0160189,0.0115689,0.00885655,0.00661912,0.00522987,0.00425739,0.00341396,0.00284854,0.00241391,0.00201217,0.00175625,0.00148898,0.00134926,0.00114896,0.000995571,0.000878765,0.000774771,0.000688403,0.000615703,0.000536529,0.000506494,0.000436901,0.000395837,0.000366401,0.000325089,0.000293568,0.000261572,0.000239075,0.000217529,0.00020064,0.00018219,0.00016908,0.000155595,0.000144991
3200,316.001,146.599,65.3625,28.057,11.593,4.533,1.74488,0.636936,0.254408,0.117917,0.0651838,0.0377867,0.0239942,0.0160088,0.0115283,0.00881096,0.00661223,0.00522251,0.00427032,0.00342031,0.00287253,0.0024263,0.0020175,0.00174666,0.00148249,0.00134929,0.00114801,0.000994991,0.000873224,0.000777345,0.000687224,0.00061393,0.000536987,0.00050345,0.000437491,0.000396366,0.000367136,0.00032677,0.000293104,0.000261268,0.000238613,0.000217341,0.000199779,0.000182132,0.000169373,0.000155718,0.000145491
