timestep,alt_70km,alt_80km,alt_90km,alt_100km,alt_120km,alt_140km,alt_160km,alt_180km,alt_200km,alt_220km,alt_250km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0
100,116.32,26.4706,4.62905,0.68642,0.0387632,0.00854775,0.00355928,0.00185557,0.00113443,0.000705409,0.000358888,0.000143034
200,93.8429,24.0835,3.84757,0.644739,0.0373228,0.0101317,0.00466281,0.00210094,0.00129845,0.000800947,0.000401437,0.000161684
300,131.007,30.3447,4.77498,0.660821,0.0459152,0.00945251,0.00415538,0.00224369,0.0013212,0.000793403,0.000422299,0.000170894
400,133.468,29.8708,4.95244,0.709811,0.0444694,0.0093957,0.003938,0.00217764,0.00131579,0.000794075,0.000416565,0.000165026
500,151.727,34.7074,6.11679,0.797684,0.0437842,0.00948295,0.00387113,0.00211417,0.00130619,0.000815751,0.000414621,0.000174745
600,159.122,38.4318,6.10397,0.75752,0.0432168,0.00910728,0.00405248,0.00214997,0.00128829,0.000814117,0.000414844,0.000171282
700,160.009,40.9342,6.28429,0.773483,0.0417274,0.00942218,0.00410678,0.00216535,0.00130882,0.00080717,0.000409901,0.000169048
800,167.365,43.5179,6.25678,0.735504,0.041349,0.00941486,0.00412787,0.00217033,0.00131022,0.000819188,0.000416904,0.000167902
900,161.418,44.4702,6.2057,0.69781,0.0435423,0.00947904,0.00412583,0.00215468,0.00125136,0.000768022,0.000399576,0.000167382
1000,167.403,46.0622,6.33202,0.705751,0.0431133,0.00937497,0.00406745,0.00203878,0.00121831,0.000775413,0.000399353,0.000168093
1100,170.396,45.4075,6.60706,0.746272,0.043123,0.0095365,0.00388294,0.00207528,0.00123936,0.000786648,0.000401235,0.000168916
1200,175.429,46.6761,6.94508,0.759099,0.0434741,0.00924649,0.00394029,0.00206931,0.00122923,0.00078057,0.000402651,0.000168187
1300,182.033,48.2532,7.16218,0.779425,0.0434131,0.00905161,0.00397683,0.00208928,0.00122423,0.000766101,0.000393729,0.000168006
1400,189.127,46.9919,7.19797,0.760531,0.0422135,0.00929451,0.00402805,0.0020514,0.00120852,0.000763914,0.000392363,0.000168819
1500,187.969,46.3801,7.27766,0.765486,0.0420462,0.00932542,0.00396358,0.00204249,0.00120033,0.000765352,0.000390203,0.000165285
1600,190.977,46.7705,7.45884,0.792964,0.0415635,0.00952784,0.00399726,0.00205464,0.00120001,0.000753636,0.00038854,0.00016435
1700,188.493,47.5514,7.54099,0.781349,0.0413184,0.00931862,0.00400371,0.00204468,0.00119857,0.000738625,0.000381124,0.000164776
1800,190.616,47.3797,7.82155,0.780837,0.0425265,0.00925603,0.00400189,0.00204099,0.00116755,0.000744715,0.000386429,0.000166072
1900,192.185,47.6257,8.15349,0.781891,0.0412761,0.00925096,0.00397121,0.00201025,0.0011853,0.000745782,0.000383727,0.000164922
2000,193.517,47.9097,8.23143,0.789603,0.041242,0.00935592,0.00395059,0.00201782,0.00117207,0.000742196,0.000392074,0.000164914
