timestep,alt_70km,alt_80km,alt_90km,alt_100km,alt_120km,alt_140km,alt_160km,alt_180km,alt_200km,alt_220km,alt_250km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,1.6443e-05,8.7964e-06,0
200,11.6057,1.16816,0.229732,0.0373883,0.00151175,0.000155579,0,7.30053e-05,4.97665e-05,1.65451e-05,4.42008e-06,2.07003e-06
300,7.74999,0.780065,0.153409,0.024967,0.00100951,0.000103892,0,7.60694e-05,3.32328e-05,1.10484e-05,2.95162e-06,1.38231e-06
400,11.6142,0.585535,0.590427,0.095481,0.00116828,0.000157266,4.82429e-05,5.70994e-05,2.49453e-05,8.2932e-06,2.21555e-06,1.0376e-06
500,9.29597,0.468662,0.565966,0.0914129,0.000935089,0.000190868,5.71069e-05,7.62034e-05,1.99662e-05,6.63787e-06,1.77333e-06,1.66927e-06
600,7.74922,0.390682,0.471795,0.0762027,0.000779501,0.000209404,4.76049e-05,6.35239e-05,3.3187e-05,1.10027e-05,4.30001e-06,1.39152e-06
700,6.64377,0.33495,0.476767,0.0767987,0.00103476,0.000179532,4.08139e-05,7.99545e-05,2.84528e-05,1.24852e-05,3.6866e-06,1.79139e-06
800,5.81433,0.293133,0.417245,0.0672108,0.000905574,0.000226045,3.57185e-05,6.99727e-05,2.93338e-05,1.09265e-05,3.22635e-06,2.03523e-06
900,5.16901,0.260599,0.429235,0.0689322,0.000988163,0.000234409,3.17542e-05,6.80931e-05,2.92189e-05,9.71377e-06,2.86826e-06,1.80934e-06
1000,4.65263,0.451801,0.386354,0.0620458,0.00117589,0.00025781,2.8582e-05,7.08641e-05,3.28918e-05,8.74336e-06,3.63076e-06,1.62859e-06
1100,4.23005,1.02965,0.351263,0.0600426,0.00156251,0.000234394,2.5986e-05,6.44277e-05,3.24008e-05,7.94923e-06,3.30099e-06,1.48067e-06
1200,3.87784,1.13157,0.357028,0.0611788,0.00143241,0.000240542,2.38223e-05,5.90632e-05,3.44141e-05,7.28735e-06,3.02614e-06,1.35738e-06
1300,3.57977,1.04459,0.329585,0.0564764,0.00132231,0.000222053,3.0793e-05,6.64277e-05,3.17689e-05,8.07024e-06,2.79354e-06,1.25305e-06
1400,3.32426,0.970029,0.414306,0.0588283,0.0014477,0.000206203,5.0658e-05,6.16862e-05,2.95013e-05,8.52729e-06,2.59414e-06,1.16361e-06
1500,3.10279,0.905403,0.417775,0.0600157,0.00135125,0.000192465,4.72831e-05,5.75766e-05,2.75358e-05,7.95918e-06,2.42131e-06,1.08609e-06
1600,3.76939,1.00961,0.419154,0.0658066,0.00126685,0.000201567,5.46056e-05,5.39803e-05,2.80713e-05,7.46204e-06,2.27008e-06,1.01825e-06
1700,4.39066,1.12998,0.444432,0.0619379,0.00119237,0.000225313,5.13954e-05,5.08068e-05,2.6421e-05,9.10435e-06,3.21804e-06,1.40718e-06
1800,4.78613,1.06723,0.427553,0.0584988,0.00112616,0.000239727,5.47586e-05,4.79858e-05,2.66871e-05,8.59883e-06,3.03936e-06,1.32905e-06
1900,4.53436,1.01109,0.405062,0.0554215,0.00122597,0.000255191,5.18781e-05,4.54616e-05,2.52833e-05,8.1465e-06,2.87948e-06,1.47788e-06
2000,5.51929,1.06828,0.384819,0.0526518,0.0011647,0.00029991,4.92855e-05,4.31896e-05,2.68671e-05,8.77616e-06,2.73558e-06,1.61067e-06
