timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
3100,5889.28,2796.71,1271.28,556.454,233.715,96.499,36.8886,13.5955,5.35364,2.50129,1.33729,0.760172,0.46984,0.314544,0.222925,0.164422,0.124463,0.0975596,0.0775492,0.0635086,0.0520606,0.0431148,0.036385,0.0306921,0.0265692,0.0230458,0.0198886,0.0173177,0.01521,0.0134653,0.0118539,0.0105054,0.00933504,0.00842157,0.00743989,0.00673649,0.00607495,0.00547613,0.00494232,0.0044778,0.00410965,0.00370532,0.00340405,0.00309928,0.00280466,0.00260891,0.00237884
3200,5875.52,2788.98,1272.18,556.419,233.254,96.5896,36.8361,13.5949,5.3455,2.49959,1.33691,0.759894,0.469386,0.314466,0.222803,0.164109,0.124466,0.0977455,0.0777112,0.0634674,0.0521428,0.0431174,0.0364383,0.0307369,0.0265484,0.0230236,0.0198727,0.0173188,0.0152486,0.0134755,0.0118932,0.0105171,0.00932238,0.00842575,0.00745089,0.00673813,0.00606786,0.00545187,0.00493163,0.00448559,0.00410526,0.00369653,0.00339394,0.00310747,0.00279628,0.00261151,0.0023788
3300,5858.28,2780.66,1271.68,554.731,233.13,96.4032,36.7899,13.6018,5.33784,2.50924,1.33958,0.761798,0.470356,0.313837,0.22247,0.163991,0.124346,0.0976685,0.0777695,0.0634189,0.0519686,0.0431581,0.0364879,0.0307273,0.0266179,0.0230832,0.0199049,0.0173037,0.0152645,0.0134752,0.0118961,0.0105329,0.00935641,0.00840639,0.00744857,0.00673996,0.00605047,0.00546198,0.00494156,0.00448352,0.00410724,0.00370067,0.00339654,0.00310463,0.00280017,0.00261053,0.00238097
3400,5835.46,2771.89,1268.73,555.286,232.598,96.0936,36.7494,13.5995,5.33926,2.50618,1.3426,0.760334,0.47057,0.314361,0.222266,0.164183,0.124586,0.0976702,0.077709,0.0633697,0.0519054,0.0431476,0.0363865,0.0308247,0.0265728,0.0230654,0.0198784,0.0173319,0.0152812,0.0134667,0.0118978,0.0105298,0.00935803,0.00838705,0.00743851,0.00673063,0.00604125,0.00545669,0.00494766,0.00447782,0.00410197,0.00370044,0.00338985,0.00310241,0.00279584,0.00260378,0.00238022
3500,5830.93,2764.63,1268.55,554.744,232.365,95.9449,36.7321,13.5824,5.35048,2.50392,1.34404,0.761337,0.471096,0.314433,0.222007,0.164042,0.124682,0.0976354,0.0778232,0.0634794,0.0518753,0.0431479,0.0363587,0.0308804,0.0266178,0.0230297,0.0198601,0.0173423,0.015271,0.0134576,0.011899,0.010531,0.00937456,0.00838398,0.00743787,0.00674198,0.00603483,0.00543656,0.00495308,0.00449599,0.00410818,0.00370575,0.00339083,0.00310273,0.0027958,0.00260245,0.00237982
3600,5823.61,2748.99,1265.46,553.807,231.959,95.8491,36.7068,13.5658,5.34634,2.50552,1.34304,0.763224,0.47181,0.31396,0.221816,0.163899,0.124532,0.0977388,0.0775193,0.0634105,0.051931,0.043266,0.036337,0.0309497,0.0266172,0.0230213,0.0198248,0.0173223,0.0152638,0.0134831,0.0118733,0.0105327,0.00936064,0.00837867,0.00742538,0.00673683,0.00604842,0.00541958,0.00494911,0.00450184,0.00411327,0.00370206,0.00339202,0.00310431,0.00279797,0.00260304,0.00237713
3700,5828.95,2734.96,1261.17,553.445,232.098,95.6507,36.7025,13.5763,5.34468,2.50575,1.34612,0.761055,0.471654,0.314226,0.222389,0.163594,0.124563,0.0979618,0.0774907,0.0635141,0.0518856,0.0432339,0.0363843,0.0310609,0.0266253,0.0230355,0.0198509,0.0173206,0.0152555,0.0134643,0.0118946,0.0105376,0.00936967,0.00837122,0.00741752,0.00672367,0.0060356,0.00541943,0.00494722,0.00450273,0.0041113,0.0037027,0.00339101,0.00310798,0.00280688,0.00260565,0.00237625
3800,5815.11,2729.44,1259.36,552.893,231.614,95.4064,36.6877,13.581,5.35332,2.50777,1.34555,0.761117,0.471427,0.31432,0.222038,0.163815,0.125056,0.0980676,0.0773457,0.0636875,0.0517775,0.0431119,0.0364332,0.0310854,0.0265734,0.0230095,0.019858,0.0172875,0.0152323,0.0134858,0.0118877,0.0105285,0.00938709,0.00835032,0.00742274,0.00671835,0.00603311,0.00542303,0.00493947,0.0045116,0.00410982,0.00369578,0.00339187,0.00310918,0.0028078,0.00260654,0.00237449
3900,5804.73,2718.21,1254.9,551.085,230.864,95.172,36.6455,13.601,5.35244,2.50453,1.34491,0.76026,0.471493,0.313856,0.222259,0.163926,0.125326,0.0978625,0.0772566,0.0636212,0.0518317,0.0430489,0.0363839,0.031089,0.0265748,0.0230517,0.0198664,0.0173329,0.0152393,0.0135233,0.0118794,0.0105264,0.0093792,0.00835457,0.00744072,0.00671085,0.00604332,0.00540236,0.00494904,0.00450282,0.00411555,0.00369819,0.0033856,0.00310198,0.00280694,0.00260735,0.00237061
4000,5789.65,2710.06,1251.9,550.797,230.235,95.1288,36.5858,13.5719,5.35183,2.50338,1.34408,0.758581,0.4711,0.313763,0.222546,0.16403,0.125418,0.097612,0.0771888,0.0636714,0.0517806,0.0430193,0.0363558,0.0310482,0.0266296,0.023031,0.0198734,0.0173025,0.0152392,0.0135339,0.0118866,0.0105344,0.00938189,0.00834716,0.0074416,0.00670183,0.00606044,0.00540114,0.00495508,0.00449623,0.0041157,0.00370888,0.00339024,0.00309865,0.00280324,0.00260994,0.00237123
