# Time-averaged data for fix dragout
# TimeStep c_drag c_drag_xnorm c_drag_walls
0 0 0 0
100 280.854 208.685 72.1693
200 272.347 206.756 65.591
300 261.717 202.876 58.8415
400 252.211 198.468 53.7423
500 243.888 193.976 49.9117
600 236.988 189.996 46.992
700 231.754 187.038 44.7152
800 227.851 184.942 42.9088
900 224.835 183.381 41.4542
1000 222.343 182.081 40.2628
1100 220.22 180.938 39.2821
