timestep,alt_100km,alt_110km,alt_120km,alt_130km,alt_140km,alt_150km,alt_160km,alt_170km,alt_180km,alt_190km,alt_200km
3600,0.000719471,0.000104128,2.13245e-05,7.36351e-06,3.52462e-06,2.00517e-06,1.2652e-06,8.56564e-07,6.09155e-07,4.49306e-07,3.4089e-07
3700,0.000719539,0.000104136,2.13249e-05,7.36361e-06,3.52475e-06,2.00507e-06,1.26519e-06,8.56561e-07,6.09162e-07,4.49298e-07,3.40888e-07
3800,0.000719597,0.000104139,2.13261e-05,7.36416e-06,3.52465e-06,2.0051e-06,1.26519e-06,8.5655e-07,6.09161e-07,4.49307e-07,3.40899e-07
3900,0.00071967,0.000104145,2.13271e-05,7.36422e-06,3.52466e-06,2.00511e-06,1.26515e-06,8.56508e-07,6.09172e-07,4.49291e-07,3.40874e-07
4000,0.000719762,0.000104152,2.13266e-05,7.36431e-06,3.5246e-06,2.00518e-06,1.26521e-06,8.56523e-07,6.09153e-07,4.49331e-07,3.40862e-07
4100,0.000719835,0.000104153,2.13268e-05,7.36449e-06,3.5248e-06,2.00524e-06,1.26522e-06,8.5648e-07,6.09188e-07,4.49314e-07,3.40883e-07
4200,0.000719868,0.000104152,2.13275e-05,7.36433e-06,3.52489e-06,2.00511e-06,1.26526e-06,8.56478e-07,6.09161e-07,4.49331e-07,3.40872e-07
4300,0.000719929,0.000104161,2.13284e-05,7.36454e-06,3.52487e-06,2.00515e-06,1.26524e-06,8.56475e-07,6.09169e-07,4.4931e-07,3.40876e-07
4400,0.000719955,0.000104162,2.13292e-05,7.36442e-06,3.5248e-06,2.00497e-06,1.26524e-06,8.56506e-07,6.09173e-07,4.49319e-07,3.40889e-07
4500,0.000720007,0.000104163,2.13298e-05,7.36447e-06,3.52478e-06,2.00501e-06,1.26522e-06,8.565e-07,6.09163e-07,4.49304e-07,3.40899e-07
4600,0.000720054,0.000104171,2.13306e-05,7.36487e-06,3.52489e-06,2.005e-06,1.26523e-06,8.56471e-07,6.09147e-07,4.49281e-07,3.40908e-07
4700,0.00072007,0.000104175,2.13309e-05,7.36497e-06,3.52479e-06,2.00501e-06,1.2653e-06,8.56505e-07,6.09144e-07,4.49286e-07,3.40906e-07
4800,0.000720084,0.000104177,2.13315e-05,7.36508e-06,3.52476e-06,2.00502e-06,1.26531e-06,8.56511e-07,6.09134e-07,4.49263e-07,3.40908e-07
4900,0.000720119,0.000104182,2.13308e-05,7.36518e-06,3.52469e-06,2.00501e-06,1.26535e-06,8.5651e-07,6.09122e-07,4.49289e-07,3.40924e-07
5000,0.000720147,0.000104188,2.1331e-05,7.36553e-06,3.52487e-06,2.00497e-06,1.26532e-06,8.5649e-07,6.09153e-07,4.49283e-07,3.40913e-07
