timestep,alt_100km,alt_110km,alt_120km,alt_130km,alt_140km,alt_150km,alt_160km,alt_170km,alt_180km,alt_190km,alt_200km,alt_210km,alt_220km,alt_230km,alt_240km,alt_250km,alt_260km,alt_270km,alt_280km,alt_290km,alt_300km
1800,7.35128e-07,1.08581e-07,2.25318e-08,7.71202e-09,3.7141e-09,2.09906e-09,1.34027e-09,9.09381e-10,6.45473e-10,4.75889e-10,3.67024e-10,2.84857e-10,2.21573e-10,1.77676e-10,1.44911e-10,1.19438e-10,9.9261e-11,8.14505e-11,6.83076e-11,5.83984e-11,4.89234e-11
1900,6.97018e-07,1.02817e-07,2.13529e-08,7.30927e-09,3.51941e-09,1.98822e-09,1.27002e-09,8.61187e-10,6.11854e-10,4.51312e-10,3.47488e-10,2.7001e-10,2.09972e-10,1.68346e-10,1.37369e-10,1.13115e-10,9.40044e-11,7.71546e-11,6.46709e-11,5.52919e-11,4.63183e-11
2000,6.61359e-07,9.76406e-08,2.02906e-08,6.94319e-09,3.34515e-09,1.88939e-09,1.20648e-09,8.17899e-10,5.80772e-10,4.28299e-10,3.3008e-10,2.56472e-10,1.99592e-10,1.59931e-10,1.30534e-10,1.07437e-10,8.93108e-11,7.32818e-11,6.14796e-11,5.25359e-11,4.39997e-11
2100,6.29656e-07,9.31192e-08,1.93128e-08,6.61612e-09,3.18401e-09,1.79968e-09,1.14907e-09,7.79138e-10,5.53474e-10,4.08165e-10,3.14375e-10,2.44229e-10,1.90047e-10,1.52326e-10,1.24284e-10,1.02356e-10,8.50524e-11,6.9825e-11,5.8552e-11,5.00422e-11,4.19072e-11
2200,6.01458e-07,8.88091e-08,1.84491e-08,6.31289e-09,3.03858e-09,1.71752e-09,1.09683e-09,7.43855e-10,5.28487e-10,3.89635e-10,3.00263e-10,2.33009e-10,1.81388e-10,1.45449e-10,1.18633e-10,9.77506e-11,8.11752e-11,6.66755e-11,5.59011e-11,4.77431e-11,4.00064e-11
2300,5.74961e-07,8.48884e-08,1.7646e-08,6.03852e-09,2.90747e-09,1.64344e-09,1.0496e-09,7.1114e-10,5.05259e-10,3.72617e-10,2.87165e-10,2.22994e-10,1.73463e-10,1.39157e-10,1.13476e-10,9.34797e-11,7.76466e-11,6.37539e-11,5.34558e-11,4.56848e-11,3.82714e-11
2400,5.51452e-07,8.14086e-08,1.69005e-08,5.78629e-09,2.786e-09,1.57351e-09,1.00556e-09,6.81562e-10,4.84375e-10,3.57171e-10,2.7515e-10,2.13847e-10,1.66256e-10,1.33276e-10,1.08786e-10,8.95771e-11,7.44553e-11,6.11016e-11,5.1243e-11,4.37991e-11,3.66726e-11
2500,5.29082e-07,7.81619e-08,1.62364e-08,5.55531e-09,2.67544e-09,1.5118e-09,9.65248e-10,6.54718e-10,4.64805e-10,3.42799e-10,2.64245e-10,2.05161e-10,1.59642e-10,1.27991e-10,1.0439e-10,8.60129e-11,7.14497e-11,5.86408e-11,4.91748e-11,4.20315e-11,3.52008e-11
2600,5.08632e-07,7.50914e-08,1.56104e-08,5.3394e-09,2.5718e-09,1.45441e-09,9.28096e-10,6.2925e-10,4.47101e-10,3.29649e-10,2.54094e-10,1.97258e-10,1.53509e-10,1.23063e-10,1.00377e-10,8.27369e-11,6.86974e-11,5.64141e-11,4.72649e-11,4.04192e-11,3.38417e-11
2700,4.90335e-07,7.23925e-08,1.50327e-08,5.14351e-09,2.4776e-09,1.39888e-09,8.9363e-10,6.05987e-10,4.30445e-10,3.17476e-10,2.44539e-10,1.89896e-10,1.47784e-10,1.18517e-10,9.66383e-11,7.96323e-11,6.61529e-11,5.43051e-11,4.55419e-11,3.89278e-11,3.26041e-11
