# IRI ion data (2026-06-22T17:00:00 UTC, lat=38.983 lon=-76.850)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
1.180000e+02 2.159538e+11 3.159925e+02 3.159925e+02 4.852574e+08 8.405563e+10 1.307558e+11 5.058666e+07
1.190000e+02 2.265003e+11 3.309920e+02 3.309920e+02 6.530879e+08 8.577742e+10 1.392446e+11 6.627130e+07
1.200000e+02 2.370467e+11 3.467128e+02 3.467128e+02 8.706338e+08 8.723156e+10 1.479153e+11 8.563883e+07
1.210000e+02 2.475932e+11 3.628817e+02 3.628817e+02 1.148068e+09 8.855957e+10 1.566125e+11 1.091356e+08
1.220000e+02 2.581397e+11 3.791133e+02 3.791133e+02 1.495860e+09 8.989721e+10 1.651869e+11 1.371762e+08
1.230000e+02 2.686861e+11 3.948940e+02 3.948940e+02 1.924291e+09 9.136647e+10 1.735046e+11 1.701383e+08
1.240000e+02 2.792326e+11 4.076766e+02 4.076766e+02 2.436851e+09 9.325670e+10 1.812795e+11 2.082457e+08
1.250000e+02 2.897791e+11 4.210057e+02 4.210057e+02 3.103425e+09 9.620404e+10 1.877530e+11 2.560189e+08
1.260000e+02 3.003255e+11 4.337905e+02 4.337905e+02 3.843921e+09 9.832108e+10 1.949708e+11 3.062134e+08
1.270000e+02 3.108720e+11 4.460535e+02 4.460535e+02 4.716026e+09 1.005880e+11 2.018549e+11 3.629017e+08
1.280000e+02 3.214185e+11 4.578160e+02 4.591035e+02 5.720789e+09 1.026209e+11 2.087968e+11 4.254116e+08
1.290000e+02 3.319649e+11 4.690987e+02 4.731523e+02 6.872761e+09 1.049865e+11 2.152131e+11 4.940877e+08
1.300000e+02 3.425114e+11 4.799213e+02 4.872012e+02 8.189886e+09 1.074274e+11 2.213394e+11 5.694516e+08
1.310000e+02 3.530578e+11 4.903027e+02 5.012500e+02 9.686458e+09 1.099252e+11 2.271792e+11 6.516787e+08
1.320000e+02 3.636043e+11 5.002609e+02 5.152989e+02 1.137728e+10 1.124604e+11 2.327372e+11 7.409233e+08
1.330000e+02 3.741508e+11 5.098133e+02 5.293477e+02 1.327759e+10 1.150124e+11 2.380185e+11 8.373170e+08
1.340000e+02 3.846972e+11 5.189766e+02 5.433965e+02 1.540310e+10 1.175611e+11 2.430279e+11 9.409686e+08
1.350000e+02 3.952437e+11 5.277668e+02 5.574454e+02 1.772756e+10 1.196673e+11 2.482490e+11 1.049549e+09
1.360000e+02 4.057902e+11 5.361992e+02 5.714943e+02 2.035504e+10 1.221937e+11 2.526774e+11 1.168206e+09
1.370000e+02 4.163366e+11 5.442884e+02 5.855431e+02 2.325723e+10 1.246588e+11 2.568442e+11 1.294309e+09
1.380000e+02 4.264104e+11 5.520485e+02 5.995919e+02 2.639585e+10 1.268751e+11 2.605296e+11 1.424898e+09
1.390000e+02 4.340794e+11 5.594929e+02 6.136407e+02 2.952352e+10 1.281579e+11 2.628510e+11 1.546405e+09
1.400000e+02 4.418069e+11 5.666346e+02 6.276896e+02 3.291480e+10 1.294005e+11 2.649771e+11 1.673329e+09
1.410000e+02 4.495912e+11 5.734861e+02 6.417384e+02 3.658342e+10 1.305892e+11 2.669076e+11 1.805650e+09
1.420000e+02 4.574297e+11 5.800592e+02 6.557872e+02 4.054311e+10 1.317115e+11 2.686401e+11 1.943338e+09
1.430000e+02 4.653205e+11 5.863652e+02 6.698361e+02 4.480771e+10 1.327565e+11 2.701716e+11 2.086349e+09
1.440000e+02 4.732611e+11 5.924152e+02 6.838849e+02 4.939096e+10 1.337144e+11 2.714976e+11 2.234626e+09
1.450000e+02 4.812492e+11 5.982195e+02 6.979338e+02 5.430650e+10 1.345766e+11 2.726129e+11 2.388091e+09
1.460000e+02 4.892822e+11 6.037882e+02 7.119826e+02 5.956764e+10 1.353356e+11 2.735114e+11 2.546654e+09
1.470000e+02 4.973576e+11 6.091310e+02 7.260314e+02 6.518737e+10 1.359846e+11 2.741872e+11 2.710201e+09
1.480000e+02 5.054726e+11 6.142571e+02 7.400802e+02 7.117818e+10 1.365178e+11 2.746337e+11 2.878594e+09
1.490000e+02 5.136246e+11 6.191753e+02 7.541290e+02 7.755180e+10 1.369302e+11 2.748445e+11 3.051677e+09
1.500000e+02 5.218107e+11 6.238941e+02 7.681779e+02 8.431939e+10 1.372175e+11 2.748130e+11 3.229265e+09
