# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
8.426000e+01 1.949660e+02 8.388709e-06 4.694741e-01 3.521355e-03 7.853738e+03 1.744092e+20 1.362434e+20 3.653022e+19 7.401444e+16 9.620444e+14 1.628244e+18 nan
8.472000e+01 1.946062e+02 7.770122e-06 4.340522e-01 3.255668e-03 7.853459e+03 1.615482e+20 1.261880e+20 3.383192e+19 9.341217e+16 8.970604e+14 1.508032e+18 nan
8.518000e+01 1.942211e+02 7.197340e-06 4.012600e-01 3.009706e-03 7.853179e+03 1.496395e+20 1.168769e+20 3.133136e+19 1.159579e+17 8.367816e+14 1.396688e+18 nan
8.564000e+01 1.937985e+02 6.667276e-06 3.708995e-01 2.781983e-03 7.852900e+03 1.386190e+20 1.082606e+20 2.901505e+19 1.410410e+17 7.808803e+14 1.293511e+18 nan
8.610000e+01 1.933263e+02 6.176988e-06 3.427877e-01 2.571126e-03 7.852621e+03 1.284254e+20 1.002916e+20 2.687064e+19 1.674450e+17 7.290622e+14 1.197848e+18 nan
8.656000e+01 1.927945e+02 5.723573e-06 3.167521e-01 2.375843e-03 7.852341e+03 1.189985e+20 9.292239e+19 2.488591e+19 1.945337e+17 6.812089e+14 1.109194e+18 nan
8.702000e+01 1.922066e+02 5.304081e-06 2.926415e-01 2.194998e-03 7.852062e+03 1.102769e+20 8.610444e+19 2.304792e+19 2.237274e+17 6.372999e+14 1.026994e+18 nan
8.748000e+01 1.915713e+02 4.915562e-06 2.703094e-01 2.027493e-03 7.851783e+03 1.021992e+20 7.978954e+19 2.134406e+19 2.548990e+17 5.969497e+14 9.507239e+17 nan
8.794000e+01 1.908976e+02 4.555490e-06 2.496278e-01 1.872368e-03 7.851503e+03 9.471294e+19 7.393655e+19 1.976351e+19 2.878041e+17 5.598111e+14 8.799085e+17 nan
8.840000e+01 1.901940e+02 4.221503e-06 2.304738e-01 1.728700e-03 7.851224e+03 8.776904e+19 6.850700e+19 1.829618e+19 3.221542e+17 5.255727e+14 8.141236e+17 nan
8.886000e+01 1.894693e+02 3.911566e-06 2.127390e-01 1.595678e-03 7.850945e+03 8.132516e+19 6.346791e+19 1.693326e+19 3.576110e+17 4.939613e+14 7.529896e+17 nan
8.932000e+01 1.887314e+02 3.623763e-06 1.963186e-01 1.472515e-03 7.850665e+03 7.534147e+19 5.878806e+19 1.566668e+19 3.938059e+17 4.647333e+14 6.961622e+17 nan
