# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
8.426000e+01 1.746878e+02 8.070946e-06 4.047105e-01 3.035587e-03 7.853738e+03 1.678026e+20 1.311624e+20 3.509886e+19 3.208693e+16 9.299083e+14 1.564367e+18 nan
8.472000e+01 1.747661e+02 7.393518e-06 3.709078e-01 2.782044e-03 7.853459e+03 1.537182e+20 1.201621e+20 3.214157e+19 3.803968e+16 8.578962e+14 1.432598e+18 nan
8.518000e+01 1.749046e+02 6.771618e-06 3.399782e-01 2.550053e-03 7.853179e+03 1.407883e+20 1.100649e+20 2.942423e+19 4.578146e+16 7.915421e+14 1.311567e+18 nan
8.564000e+01 1.750899e+02 6.201363e-06 3.116778e-01 2.337782e-03 7.852900e+03 1.289322e+20 1.008074e+20 2.693025e+19 5.601115e+16 7.304594e+14 1.200445e+18 nan
8.610000e+01 1.753090e+02 5.679163e-06 2.857894e-01 2.143603e-03 7.852621e+03 1.180752e+20 9.233020e+19 2.464435e+19 6.975276e+16 6.742801e+14 1.098444e+18 nan
8.656000e+01 1.755497e+02 5.201407e-06 2.621070e-01 1.965969e-03 7.852341e+03 1.081422e+20 8.457399e+19 2.255103e+19 8.764798e+16 6.228091e+14 1.004919e+18 nan
8.702000e+01 1.758081e+02 4.764456e-06 2.404416e-01 1.803465e-03 7.852062e+03 9.905754e+19 7.747945e+19 2.063506e+19 1.087089e+17 5.759834e+14 9.192064e+17 nan
8.748000e+01 1.760843e+02 4.364836e-06 2.206207e-01 1.654796e-03 7.851783e+03 9.074907e+19 7.099003e+19 1.888130e+19 1.330550e+17 5.333450e+14 8.406823e+17 nan
8.794000e+01 1.763786e+02 3.999347e-06 2.024849e-01 1.518766e-03 7.851503e+03 8.315022e+19 6.505304e+19 1.727631e+19 1.608003e+17 4.944810e+14 7.687573e+17 nan
8.840000e+01 1.766914e+02 3.665124e-06 1.858923e-01 1.394311e-03 7.851224e+03 7.620139e+19 5.962197e+19 1.580753e+19 1.919950e+17 4.590253e+14 7.028958e+17 nan
8.886000e+01 1.770227e+02 3.359479e-06 1.707098e-01 1.280432e-03 7.850945e+03 6.984676e+19 5.465293e+19 1.446348e+19 2.266018e+17 4.266426e+14 6.425940e+17 nan
8.932000e+01 1.773729e+02 3.079975e-06 1.568166e-01 1.176224e-03 7.850665e+03 6.403558e+19 5.010623e+19 1.323360e+19 2.644991e+17 3.970332e+14 5.874005e+17 nan
8.978000e+01 1.777423e+02 2.824355e-06 1.441012e-01 1.080851e-03 7.850386e+03 5.872100e+19 4.594528e+19 1.210815e+19 3.054656e+17 3.699354e+14 5.368879e+17 nan
9.024000e+01 1.781313e+02 2.590500e-06 1.324590e-01 9.935267e-04 7.850107e+03 5.385895e+19 4.213507e+19 1.107852e+19 3.491883e+17 3.451112e+14 4.906785e+17 nan
9.070000e+01 1.785400e+02 2.376516e-06 1.217962e-01 9.135492e-04 7.849828e+03 4.941001e+19 3.864514e+19 1.013637e+19 3.952479e+17 3.223425e+14 4.484022e+17 nan
9.116000e+01 1.789689e+02 2.180727e-06 1.120305e-01 8.403002e-04 7.849549e+03 4.533937e+19 3.544858e+19 9.274410e+18 4.431163e+17 3.014402e+14 4.097384e+17 nan
9.162000e+01 1.794183e+02 2.001575e-06 1.030851e-01 7.732043e-04 7.849270e+03 4.161464e+19 3.252058e+19 8.485735e+18 4.921618e+17 2.822328e+14 3.743807e+17 8.010093e+10
9.208000e+01 1.798885e+02 1.837646e-06 9.489048e-02 7.117390e-04 7.848991e+03 3.820638e+19 2.983857e+19 7.764194e+18 5.416359e+17 2.645652e+14 3.420561e+17 8.659352e+10
9.254000e+01 1.803800e+02 1.687618e-06 8.738161e-02 6.554177e-04 7.848712e+03 3.508718e+19 2.738160e+19 7.104030e+18 5.906710e+17 2.482951e+14 3.125058e+17 9.335398e+10
9.300000e+01 1.808931e+02 1.550299e-06 8.049986e-02 6.038002e-04 7.848433e+03 3.223219e+19 2.513082e+19 6.500060e+18 6.382884e+17 2.333018e+14 2.854968e+17 1.003800e+11
9.346000e+01 1.814283e+02 1.424579e-06 7.419065e-02 5.564772e-04 7.848154e+03 2.961835e+19 2.306877e+19 5.947511e+18 6.833835e+17 2.194700e+14 2.608145e+17 1.076688e+11
9.392000e+01 1.819860e+02 1.309425e-06 6.840316e-02 5.130673e-04 7.847875e+03 2.722418e+19 2.117931e+19 5.441931e+18 7.247474e+17 2.066962e+14 2.382614e+17 1.152188e+11
9.438000e+01 1.825671e+02 1.203902e-06 6.309154e-02 4.732267e-04 7.847596e+03 2.503025e+19 1.944793e+19 4.979288e+18 7.610900e+17 1.948902e+14 2.176550e+17 1.230314e+11
