Altitude [km],He [1/m^3],O [1/m^3],N2 [1/m^3],O2 [1/m^3],Ar [1/m^3],Mass Density [kg/m^3],H [1/m^3],N [1/m^3],Anomalous O [1/m^3],Exospheric Temp [K],Temp at Altitude [K]
105.2,66113163902416.7,3.80210945419658e+17,3.58968997211095e+18,5.57738447155025e+17,3.0509577680627e+16,2.0860056858893e-07,8242875391321.74,904880261367.608,1.48723301968838e-33,1027.3184649,213.382339878022
106,61377480814880.6,3.52648213231654e+17,3.08162894543854e+18,4.67225001088253e+17,2.53790165889173e+16,1.79105051065236e-07,7573644670350.49,957822085475.615,4.06624234421658e-33,1027.3184649,220.772031209343
106.8,57157555399238.2,3.26591012363027e+17,2.65207840940893e+18,3.92271496850927e+17,2.11428450057561e+16,1.54184623266218e-07,6963503695756.62,1015569775983.54,1.09658828698098e-32,1027.3184649,228.79998207269
107.6,53389476962560.9,3.02212114545664e+17,2.28911039446658e+18,3.30243565245931e+17,1.76515897064324e+16,1.3313959885311e-07,6406898225166.04,1078830546591.26,2.91643403494611e-32,1027.3184649,237.413857855228
108.4,50020685429042.6,2.79614417204016e+17,1.98251923298006e+18,2.78927676136121e+17,1.47782547024866e+16,1.15372335758711e-07,5899237705598.7,1148458598990.22,7.64696720809589e-32,1027.3184649,246.533253660841
109.2,47008606970115,2.58849235537895e+17,1.72362942416656e+18,2.36475866222784e+17,1.24158712700925e+16,1.00375692840235e-07,5436718938388.59,1225511822529.97,1.97585970467143e-31,1027.3184649,256.041067701304
110,44319302410769.1,2.39930851852447e+17,1.50510233723489e+18,2.0135300947477e+17,1.04749829789991e+16,8.77214638751389e-08,5016167400094.29,1311323100280.05,5.02759504784122e-31,1027.3184649,265.774435501946
110.8,41922188785658.3,2.22816473992857e+17,1.32056807520916e+18,1.72264578360297e+17,8.87983298967e+15,7.70386437623206e-08,4634473442431.2,1407391390153.58,1.25882403525195e-30,1027.3184649,275.555493329542
111.6,39777914322776,2.07333748853002e+17,1.1640627432086e+18,1.48067138605823e+17,7.56349284935428e+15,6.79802694468048e-08,4287364446828.52,1514742627488.27,3.10055406022739e-30,1027.3184649,285.325072941448
112.4,37850657268008.7,1.93299147214894e+17,1.03062992143033e+18,1.27833456199633e+17,6.4718019039431e+15,6.02582408392451e-08,3970829900688.1,1634313588667.07,7.50999511608634e-30,1027.3184649,295.062203101702
113.2,36110697842678.3,1.80549867274428e+17,9.16283449057051e+17,1.10828265932498e+17,5.56194212015905e+15,5.36410565839434e-08,3681443797274.92,1767109276587.68,1.78782003875277e-29,1027.3184649,304.751539609925
114,34533091429505,1.6894124430845e+17,8.17800121733463e+17,9.64655161703493e+16,4.79991680784592e+15,4.79416712585472e-08,3416252852258.86,1914192195073.48,4.17964905813116e-29,1027.3184649,314.384689167083
114.8,33096656890144.3,1.58344520017421e+17,7.32560207618821e+17,8.42757693250618e+16,4.1586191764219e+15,4.30081633718756e-08,3172691256761.24,2076667777663.53,9.58545687732812e-29,1027.3184649,323.961502838435
115.6,31783201310125,1.48644921611986e+17,6.58424000589549e+17,7.38812038848607e+16,3.61634620759029e+15,3.87165199606127e-08,2948514981160.83,2255665091596.68,2.15342784676261e-28,1027.3184649,333.49132463843
116.4,30576922853464.1,1.39740004696298e+17,5.93635698676589e+17,6.49763393090215e+16,3.15565031099447e+15,3.4965024697768e-08,2741750548852.59,2452311857833.6,4.7307463372351e-28,1027.3184649,342.994196416697
117.2,29463948186799.1,1.31538219087949e+17,5.36748124251494e+17,5.73130936112421e+16,2.76244831969207e+15,3.16698678873564e-08,2550654567672.52,2667702741319.66,1.01413607010222e-27,1027.3184649,352.502039917702
118,28431971731839.4,1.23957662035738e+17,4.86563431100594e+17,5.06891390091195e+16,2.42532735665761e+15,2.87616927729356e-08,2373681296684.02,2902859770500.26,2.11638685030094e-27,1027.3184649,362.059860326713
118.8,27469971958512.9,1.16924988367741e+17,4.42086141479524e+17,4.4938781357905e+16,2.13500191705706e+15,2.61828632161589e-08,2209456246629.41,3158683637721.57,4.28934223000431e-27,1027.3184649,371.727042833436
119.6,26567985829337.3,1.10374451683702e+17,4.02485742895586e+17,3.99257808152129e+16,1.88388755368552e+15,2.38852900528012e-08,2056754339559.94,3435894506785.52,8.42925735127738e-27,1027.3184649,381.57884544974
120.4,25716926900727,1.04247054706545e+17,3.67066734539845e+17,3.5537673165215e+16,1.66576482225986e+15,2.18286923160751e-08,1914481540220.63,3734960802161.95,1.60811379024856e-26,1027.3184649,391.708229324063
121.2,24908435866638.8,9.84897903205596e+16,3.35244507638181e+17,3.16812569314777e+16,1.47551336123284e+15,1.99791986126626e-08,1781659156287.61,4056014264629.1,3.00462231818452e-26,1027.3184649,402.22821558702
122,24134754766335.3,9.30549576843152e+16,3.06525816156346e+17,2.82789904968343e+16,1.30890067397401e+15,1.83082158239928e-08,1657410213302.63,4398749315100.65,5.64239010617387e-26,1027.3184649,413.275021303252
122.8,23388617861267.1,8.78995401679653e+16,2.80492875875969e+17,2.52661029116625e+16,1.16241373602522e+15,1.67915088506667e-08,1540947462312.3,4762304452331.62,1.12470400082773e-25,1027.3184649,425.012316111467
123.6,22627586678661.4,8.27813696764739e+16,2.56191692146588e+17,2.25358963556928e+16,1.03035110455374e+15,1.53722570677812e-08,1429567207311.95,5132968450350.56,2.55106003102619e-25,1444.12921005407,438.769826750307
124.4,21933642790737.3,7.81784135830736e+16,2.34863890340927e+17,2.01787925597826e+16,917486102734939,1.41259873812992e-08,1327715880309.41,5538386088399.77,6.05948492493153e-25,1444.12921005407,452.041964068857
125.2,21291037221616.5,7.3977840671184e+16,2.15938125648485e+17,1.81237708169854e+16,819967924387607,1.30191184467648e-08,1234159682241.57,5977677571444.81,1.42626580574082e-24,1444.12921005407,465.135677625112
126,20694258590218.2,7.01326462858623e+16,1.99075628383958e+17,1.63247138188946e+16,735326345092929,1.20320420360301e-08,1148120036859.27,6452679047345.58,3.32702702671881e-24,1444.12921005407,478.053408839485
126.8,20138541522427.9,6.66026589219804e+16,1.83994492860374e+17,1.47436729599308e+16,661547374820961,1.11484386696003e-08,1068908240273.22,6965269335271.75,7.69208756502612e-24,1444.12921005407,490.797565145713
127.6,19619745490902.5,6.33533506011178e+16,1.70458696856012e+17,1.33492291874059e+16,596978530660063,1.03546422824285e-08,995912186852.922,7517358014391.49,1.76280652003107e-23,1444.12921005407,503.370520471979
128.4,19134256816864.7,6.03548870603875e+16,1.58269502574332e+17,1.21152195263831e+16,540255877066274,9.63914282106549e-09,928585518305.396,8110873096414.45,4.00477108354544e-23,1444.12921005407,515.774615715118
129.2,18678908714275.1,5.75813633268454e+16,1.47258669175811e+17,1.1019739853355e+16,490247373408952,8.99219372376797e-09,866438682967.847,8747748220164.42,9.01992707637998e-23,1444.12921005407,528.012159208004
130,18250915532068.1,5.50101838727287e+16,1.37283055423283e+17,1.00443581987691e+16,446008545660509,8.405499854849e-09,809031513225.612,9429909347312.46,2.01428020454723e-22,1444.12921005407,540.085427180206
130.8,17847818277306.8,5.26215564659837e+16,1.28220297796095e+17,9.17348981675544e+15,406747549394722,7.87196766328849e-09,755967018691.946,10159260972249.2,4.46033118773866e-22,1444.12921005407,551.996664212023
131.6,17467439182983.5,5.03980761277202e+16,1.19965327067724e+17,8.39389751679687e+15,371797445601468,7.38550383926213e-09,706886160055.874,10937671887546.1,9.7945192151811e-22,1444.12921005407,563.748083681998
132.4,17107843589115.9,4.83243810281908e+16,1.12427543319957e+17,7.6942896960582e+15,340594057673704,6.94085204597888e-09,661463419408.124,11766960570658.6,2.13307417583203e-21,1444.12921005407,575.341868207989
133.2,16767307783855.9,4.63868662151575e+16,1.05528511562447e+17,7.06499509743399e+15,312658177831870,6.53345974979121e-09,619403021708.568,12648880278148.8,4.60758378887543e-21,1444.12921005407,586.78017008191
134,16444291737102.6,4.4573444139304e+16,9.92000716423557e+16,6.49769821036421e+15,287581186123056,6.15936899740594e-09,580435691953.099,13585103951170.5,9.87238783232688e-21,1444.12921005407,598.065111698227
134.8,16137415877162.7,4.28733432815631e+16,9.33827798583425e+16,5.9852228945881e+15,265013364259237,5.81512636326549e-09,544315855771.384,14577209050493.6,2.09840688232774e-20,1444.12921005407,609.198785976287
135.6,15845441228906.9,4.1276937984424e+16,8.80246176966489e+16,5.52135457113536e+15,244654350613693,5.49770833243101e-09,510819209275.139,15626662451075,4.4249888638222e-20,1444.12921005407,620.183256776604
136.4,15567252362343.5,3.97756039795908e+16,8.30799168652177e+16,5.10069342590468e+15,226245306398868,5.20445918052791e-09,479740598186.48,16734805535152.5,9.2581822421377e-20,1444.12921005407,631.020559311148
137.2,15301842702799.1,3.83615951874335e+16,7.85084603879046e+16,4.71853267933646e+15,209562456971731,4.93303902478682e-09,450892157505.795,17902839629076.8,1.92205597466413e-19,1444.12921005407,641.712700547757
138,15048301834740.5,3.70279382130004e+16,7.42747277194474e+16,4.37075721472667e+15,194411744001697,4.68138019442747e-09,424101671902.622,19131811932604.8,3.95975599396795e-19,1444.12921005407,652.261659608743
138.8,14805804495694,3.57683416336632e+16,7.0347258230832e+16,4.05375881839306e+15,180624379464187,4.44765043809352e-09,399211124141.342,20422602090184.3,8.09595083395981e-19,1444.12921005407,662.669388163781
139.6,14573601008449.9,3.45771177056705e+16,6.6698112422886e+16,3.76436503419676e+15,168053135178653,4.2302217756046e-09,376075404574.806,21775909551900.8,1.64285385905013e-18,1444.12921005407,672.937810817158
