# IRI ion data (2011-04-10T00:00:00 UTC, lat=40.793 lon=-77.860)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
1.180000e+02 1.048937e+10 3.359018e+02 3.359018e+02 1.094760e+06 1.769365e+09 8.718902e+09 9.811497e+02
1.190000e+02 1.017263e+10 3.485567e+02 3.485567e+02 1.798745e+06 1.679123e+09 8.491691e+09 1.803658e+03
1.200000e+02 9.893838e+09 3.612412e+02 3.612412e+02 2.683915e+06 1.599330e+09 8.291794e+09 2.971351e+03
1.210000e+02 9.659259e+09 3.738212e+02 3.748468e+02 3.698845e+06 1.530087e+09 8.125427e+09 4.503518e+03
1.220000e+02 9.473068e+09 3.861401e+02 3.884524e+02 4.763343e+06 1.475962e+09 7.992276e+09 6.493747e+03
1.230000e+02 9.337549e+09 3.980194e+02 4.020580e+02 5.672025e+06 1.437917e+09 7.893862e+09 9.145430e+03
1.240000e+02 9.253324e+09 4.093172e+02 4.156635e+02 6.081318e+06 1.417648e+09 7.829447e+09 1.265063e+04
1.250000e+02 9.219578e+09 4.203782e+02 4.292691e+02 5.807064e+06 1.416418e+09 7.797135e+09 1.700504e+04
1.260000e+02 9.234271e+09 4.312336e+02 4.428747e+02 5.109076e+06 1.432489e+09 7.796374e+09 2.207581e+04
1.270000e+02 9.294372e+09 4.418875e+02 4.564803e+02 4.405014e+06 1.462130e+09 7.827449e+09 2.794292e+04
1.280000e+02 9.396069e+09 4.523433e+02 4.700858e+02 3.911024e+06 1.502147e+09 7.889524e+09 3.496482e+04
1.290000e+02 9.534994e+09 4.626051e+02 4.836913e+02 3.664393e+06 1.550332e+09 7.980395e+09 4.363075e+04
1.300000e+02 9.706451e+09 4.726764e+02 4.972969e+02 3.640000e+06 1.605067e+09 8.097005e+09 5.445228e+04
1.310000e+02 9.905629e+09 4.825608e+02 5.109025e+02 3.811916e+06 1.665063e+09 8.235853e+09 6.791741e+04
1.320000e+02 1.012783e+10 4.922618e+02 5.245081e+02 4.168666e+06 1.728661e+09 8.393904e+09 8.460662e+04
1.330000e+02 1.036867e+10 5.017830e+02 5.381136e+02 4.708836e+06 1.794428e+09 8.568212e+09 1.050972e+05
1.340000e+02 1.062435e+10 5.111277e+02 5.517192e+02 5.441534e+06 1.860952e+09 8.756364e+09 1.300177e+05
1.350000e+02 1.089182e+10 5.202991e+02 5.653246e+02 6.384362e+06 1.927299e+09 8.956230e+09 1.599657e+05
1.360000e+02 1.116903e+10 5.293006e+02 5.789302e+02 7.563142e+06 1.992494e+09 9.166701e+09 1.956643e+05
1.370000e+02 1.145515e+10 5.381354e+02 5.925357e+02 9.007742e+06 2.056187e+09 9.387273e+09 2.378594e+05
1.380000e+02 1.175080e+10 5.468066e+02 6.061412e+02 1.075586e+07 2.118437e+09 9.618446e+09 2.874316e+05
1.390000e+02 1.205823e+10 5.553173e+02 6.197466e+02 1.285416e+07 2.180062e+09 9.861623e+09 3.453914e+05
1.400000e+02 1.238160e+10 5.636704e+02 6.333521e+02 1.536220e+07 2.242420e+09 1.011952e+10 4.130594e+05
1.410000e+02 1.272719e+10 5.718691e+02 6.469576e+02 1.835871e+07 2.307518e+09 1.039632e+10 4.922117e+05
1.420000e+02 1.302544e+10 5.799161e+02 6.605630e+02 2.169769e+07 2.353436e+09 1.064459e+10 5.785647e+05
1.430000e+02 1.332336e+10 5.878143e+02 6.741683e+02 2.553874e+07 2.395480e+09 1.089584e+10 6.759761e+05
1.440000e+02 1.362993e+10 5.955666e+02 6.877737e+02 2.997074e+07 2.436699e+09 1.115589e+10 7.863653e+05
1.450000e+02 1.394548e+10 6.031757e+02 7.013789e+02 3.506616e+07 2.477361e+09 1.142473e+10 9.111633e+05
1.460000e+02 1.427036e+10 6.106442e+02 7.149841e+02 4.090655e+07 2.517693e+09 1.170241e+10 1.051986e+06
1.470000e+02 1.460494e+10 6.179747e+02 7.285892e+02 4.757985e+07 2.558138e+09 1.198875e+10 1.210489e+06
1.480000e+02 1.494968e+10 6.251699e+02 7.421942e+02 5.518578e+07 2.599023e+09 1.228377e+10 1.388571e+06
1.490000e+02 1.530491e+10 6.322324e+02 7.557989e+02 6.383462e+07 2.640604e+09 1.258745e+10 1.588312e+06
1.500000e+02 1.567115e+10 6.391645e+02 7.694036e+02 7.365256e+07 2.683033e+09 1.290000e+10 1.812058e+06
1.510000e+02 1.604883e+10 6.459688e+02 7.830081e+02 8.477252e+07 2.726791e+09 1.322125e+10 2.062159e+06
1.520000e+02 1.643845e+10 6.526476e+02 7.966124e+02 9.734648e+07 2.772125e+09 1.355128e+10 2.341277e+06
